iter	RMSE
0	13.7907425
1	13.35508548
2	12.91082177
3	12.5345536
4	12.18089723
5	11.81084158
6	11.43737754
7	11.09532472
8	10.72270473
9	10.38775374
10	10.08591199
11	9.78852335
12	9.482442017
13	9.17151435
14	8.897755331
15	8.624563426
16	8.353332691
17	8.1070178
18	7.865189676
19	7.613748958
20	7.395300151
21	7.185008909
22	6.964018604
23	6.751223997
24	6.554496146
25	6.354075689
26	6.183613631
27	5.998118017
28	5.823685663
29	5.646710727
30	5.468656839
31	5.308170062
32	5.164211805
33	5.017364845
34	4.886905664
35	4.748795516
36	4.600811658
37	4.472816288
38	4.345798522
39	4.217094398
40	4.098697683
41	3.994758201
42	3.885809137
43	3.78124451
44	3.669470825
45	3.571119856
46	3.470039859
47	3.374311044
48	3.281272967
49	3.186362768
50	3.097786229
51	3.015906279
52	2.937946517
53	2.867452308
54	2.788889827
55	2.713817577
56	2.653741684
57	2.591435363
58	2.523673155
59	2.457285681
60	2.394297398
61	2.333297509
62	2.274463529
63	2.221779464
64	2.174267822
65	2.12317174
66	2.070259319
67	2.020217893
68	1.978917415
69	1.928380842
70	1.883817805
71	1.835179615
72	1.796024979
73	1.755930679
74	1.716355503
75	1.679712589
76	1.644195902
77	1.614181934
78	1.579425783
79	1.551830139
80	1.51811565
81	1.482538355
82	1.451797093
83	1.422909923
84	1.390845809
85	1.362353715
86	1.339353154
87	1.311635368
88	1.284000442
89	1.261133289
90	1.241720245
91	1.218721235
92	1.19581574
93	1.172670324
94	1.150876484
95	1.129990394
96	1.111484492
97	1.092448912
98	1.076543674
99	1.059098168
100	1.041248767
101	1.026871093
102	1.01271604
103	0.9960664367
104	0.9837788442
105	0.9693314266
106	0.9560875271
107	0.9427631588
108	0.9306597117
109	0.9168743603
110	0.9053805212
111	0.9014759133
112	0.8900073499
113	0.8863326906
114	0.8760866771
115	0.8667723891
116	0.8638742772
117	0.8555335577
118	0.8517903844
119	0.8412731441
120	0.8379263455
121	0.8347218732
122	0.8313906353
123	0.8240436347
124	0.8187549041
125	0.8151431089
126	0.8102448398
127	0.8042077783
128	0.7957175881
129	0.7933585223
130	0.7879621653
131	0.7801965056
132	0.7775714185
133	0.7719708184
134	0.7679680534
135	0.7640857054
136	0.7618137701
137	0.7545882939
138	0.752751591
139	0.7440713961
140	0.7413406437
141	0.7378951037
142	0.730373484
143	0.7275348303
144	0.7249171831
145	0.717120106
146	0.7107142179
147	0.7037960637
148	0.6983128066
149	0.6967230743
150	0.6907441775
151	0.6871578065
152	0.6852814557
